train_loss,val_sentiment_accuracy,val_sentiment_f1,val_sentiment_precision,val_sentiment_recall,val_aspect_f1_micro,val_aspect_f1_macro,val_aspect_precision,val_aspect_recall
1.0687479633436245,0.7884615384615384,0.7355385614728482,0.7102729803976869,0.7884615384615384,0.8506429277942631,0.37766898043564573,0.8865979381443299,0.8174904942965779
0.7995433816727543,0.7810650887573964,0.7602748942192658,0.7427870932219729,0.7810650887573964,0.9040189125295508,0.6244610327491477,0.8993414863593603,0.908745247148289
0.6640417729800173,0.7855029585798816,0.7542842769241102,0.7336660558396569,0.7855029585798816,0.9291412482402628,0.7109106776309824,0.917516218721038,0.94106463878327
0.5644246167730281,0.7677514792899408,0.7580794644364985,0.7565263671042928,0.7677514792899408,0.9375879868606288,0.7258437452946239,0.9258572752548656,0.9496197718631179
0.4827742088349478,0.7840236686390533,0.7784539833270493,0.7736250927887216,0.7840236686390533,0.9436819687647894,0.7372054510879449,0.939679547596607,0.9477186311787072
0.40656915439933844,0.7884615384615384,0.7804475525107936,0.7757387950086283,0.7884615384615384,0.9455750118315192,0.7437662974789082,0.941564561734213,0.9496197718631179
0.34441325335902334,0.7751479289940828,0.7791085450775066,0.7875851252778939,0.7751479289940828,0.9560283687943263,0.7549538323442306,0.9510818438381938,0.9610266159695817
0.28439000042009566,0.7840236686390533,0.7788291749268329,0.7753276777191389,0.7840236686390533,0.9538606403013182,0.7524167335110242,0.9449626865671642,0.9629277566539924
0.2543175349437097,0.7840236686390533,0.7791296616372994,0.7758759601153434,0.7840236686390533,0.9576795054683785,0.7598543747640134,0.9581351094196003,0.9572243346007605
0.22440038096954829,0.7781065088757396,0.7732565845069279,0.7706740163326128,0.7781065088757396,0.959696538643907,0.7641054082280132,0.9574266792809839,0.9619771863117871
